subject,state,n_windows,score,score_average19,log_posterior_frontal_alpha,log_theta_alpha,score_first30,score_last30
sub-032456,EC,14,0.30704460662616245,0.4124904368402787,1.882104754447937,-1.0025210976600647,0.28923848212818576,0.28038604400395134
sub-032456,EO,13,0.7811195657187984,1.0504863034289835,0.9588980674743652,-0.5827046632766724,0.7965875105851781,0.7811195657187984
sub-032458,EC,13,0.43272022791293796,0.6274318535515115,1.6297179460525513,-0.4594961404800415,0.6565343483940732,0.3333126909856303
sub-032458,EO,14,0.4856729330091034,0.4852340934428804,1.2975348830223083,-0.28608861565589905,0.36920371041626165,0.6203772314054539
sub-032459,EC,14,0.6673938750081037,0.7090558191215235,1.354099690914154,-0.48832088708877563,0.46153879923180574,0.7242042686242063
sub-032459,EO,11,1.2089701959672932,1.1794499091918262,0.5635772943496704,0.4846460521221161,1.1796825937058135,1.4252106138986305
sub-032462,EC,13,0.6157565741512396,0.7505319709445013,1.2942413091659546,-1.4529871940612793,0.6835573049897001,0.7107213521825567
sub-032462,EO,14,0.9961835805451487,1.091814065446999,0.7116070985794067,-0.6812774538993835,1.2617791146702806,0.8982768568637309
sub-032463,EC,14,0.4774910735988776,0.6691559748737742,0.9462795853614807,0.1814657524228096,0.534851249384375,0.44820579925141624
sub-032463,EO,14,0.6974613018555357,0.832280523011554,0.9511778056621552,0.48972105979919434,0.38840396165201485,0.8219352623335617
sub-032475,EC,14,0.2806453454217104,0.2036325287103441,2.4296205043792725,-2.2457852363586426,0.32858954074010815,0.2806453454217104
sub-032475,EO,13,0.7059758208917254,1.1124633268079724,0.7944110631942749,-0.7960745096206665,0.7864768274098108,0.6541012264717622
sub-032482,EC,13,0.8042027581658121,0.731259557405308,0.6153022646903992,0.26033884286880493,0.7318978502338078,1.1317738278948042
sub-032482,EO,13,0.384603376993613,0.5128134260004487,0.6669405698776245,0.45887628197669983,0.3453078799849971,0.9302341468964459
sub-032490,EC,14,0.425628847391316,0.49979880821015543,1.3445007801055908,-1.2381792664527893,0.7066317983589712,0.377787440204992
sub-032490,EO,13,0.8369638138995171,1.03377497212637,0.2763769328594208,0.3809846341609955,1.007947748772039,0.8152559844174203
sub-032495,EC,13,0.5316984031802741,0.7021494643826549,1.6169850826263428,-0.6920856833457947,0.38399733655850343,0.5316984031802741
sub-032495,EO,13,0.6297218010053703,0.736445622633491,1.447340726852417,-0.4762694239616394,0.6376640980669361,0.5652897768432431
sub-032496,EC,14,0.2538920986419947,0.2161158742934644,2.1274083852767944,-1.7035058736801147,0.22968479494962235,0.38776105065360095
sub-032496,EO,11,1.0337040951049388,0.9461021089023072,1.315269112586975,-0.4811423718929291,0.8273254644595254,1.1485633049409096
